region,year,month,variable,value
LIMA,2008,Apr,tmmx,25.060535610000002
LIMA,2008,May,pr,0
LIMA,2008,May,tmmx,22.05316455
LIMA,2008,Jun,pr,0
LIMA,2008,Jun,tmmx,19.861620130000002
LIMA,2008,Jul,pr,0
LIMA,2008,Jul,tmmx,19.80779365
LIMA,2008,Aug,pr,0
LIMA,2008,Aug,tmmx,19.863367120000003
LIMA,2008,Sep,pr,2.8673504
LIMA,2008,Sep,tmmx,20.41045695
LIMA,2008,Oct,pr,0
LIMA,2008,Oct,tmmx,21.453474510000003
LIMA,2008,Nov,pr,0.3988053
LIMA,2008,Nov,tmmx,22.058000640000003
LIMA,2008,Dec,pr,0
LIMA,2008,Dec,tmmx,24.619236720000004
LIMA,2009,Jan,pr,0.0966856
LIMA,2009,Jan,tmmx,25.50272451
LIMA,2009,Feb,pr,0.0822455
LIMA,2009,Feb,tmmx,27.108729699999998
LIMA,2009,Mar,pr,30.5776881
LIMA,2009,Mar,tmmx,26.693482160000002
LIMA,2009,Apr,pr,2.1663127
LIMA,2009,Apr,tmmx,25.22228233
LIMA,2009,May,pr,0
LIMA,2009,May,tmmx,22.4531973
LIMA,2009,Jun,pr,0
LIMA,2009,Jun,tmmx,20.443213280000002
LIMA,2009,Jul,pr,0.7672403
LIMA,2009,Jul,tmmx,20.319471770000003
LIMA,2009,Aug,pr,0
LIMA,2009,Aug,tmmx,19.52841652
LIMA,2009,Sep,pr,0
LIMA,2009,Sep,tmmx,20.85571442
LIMA,2009,Oct,pr,0
LIMA,2009,Oct,tmmx,21.58849196
LIMA,2009,Nov,pr,0.3951889
LIMA,2009,Nov,tmmx,23.158591700000002
LIMA,2009,Dec,pr,16.4006269
LIMA,2009,Dec,tmmx,25.10159167
LIMA,2010,Jan,pr,0
LIMA,2010,Jan,tmmx,27.090122020000003
LIMA,2010,Feb,pr,0.0406825
LIMA,2010,Feb,tmmx,28.01384581
LIMA,2010,Mar,pr,0.0742771
LIMA,2010,Mar,tmmx,27.86475421
LIMA,2010,Apr,pr,1.0414409
LIMA,2010,Apr,tmmx,25.926574490000004
LIMA,2010,May,pr,0
LIMA,2010,May,tmmx,22.785198
LIMA,2010,Jun,pr,0
LIMA,2010,Jun,tmmx,20.30885212
LIMA,2010,Jul,pr,0
LIMA,2010,Jul,tmmx,18.91394099
LIMA,2010,Aug,pr,0
LIMA,2010,Aug,tmmx,19.458652240000003
LIMA,2010,Sep,pr,0
LIMA,2010,Sep,tmmx,19.67376446
LIMA,2010,Oct,pr,0
LIMA,2010,Oct,tmmx,20.92908865
LIMA,2010,Nov,pr,0.3988053
LIMA,2010,Nov,tmmx,22.361959490000004
LIMA,2010,Dec,pr,0
LIMA,2010,Dec,tmmx,24.08915362
LIMA,2011,Jan,pr,4.4978562
LIMA,2011,Jan,tmmx,25.879351220000004
LIMA,2011,Feb,pr,63.9974964
LIMA,2011,Feb,tmmx,26.4465224
LIMA,2011,Mar,pr,0.0398086
LIMA,2011,Mar,tmmx,26.38164268
LIMA,2011,Apr,pr,1.0781405
LIMA,2011,Apr,tmmx,24.70902905
LIMA,2011,May,pr,0
LIMA,2011,May,tmmx,22.52706715
LIMA,2011,Jun,pr,0
LIMA,2011,Jun,tmmx,21.369710710000003
LIMA,2011,Jul,pr,0
LIMA,2011,Jul,tmmx,19.99522619
LIMA,2011,Aug,pr,0
LIMA,2011,Aug,tmmx,20.138307920000003
LIMA,2011,Sep,pr,0
LIMA,2011,Sep,tmmx,19.91415604
LIMA,2011,Oct,pr,0
LIMA,2011,Oct,tmmx,20.975593470000003
LIMA,2011,Nov,pr,0.4020122
LIMA,2011,Nov,tmmx,23.219776630000002
LIMA,2011,Dec,pr,0.0119151
LIMA,2011,Dec,tmmx,24.569612050000003
LIMA,2012,Jan,pr,5.745e-4
LIMA,2012,Jan,tmmx,25.73418759
LIMA,2012,Feb,pr,25.9325033
LIMA,2012,Feb,tmmx,26.34999732
LIMA,2012,Mar,pr,0.0807327
LIMA,2012,Mar,tmmx,26.88537708
LIMA,2012,Apr,pr,1.0131675
LIMA,2012,Apr,tmmx,25.652156680000004
LIMA,2012,May,pr,0
LIMA,2012,May,tmmx,22.737091980000002
LIMA,2012,Jun,pr,0
LIMA,2012,Jun,tmmx,21.105499370000004
LIMA,2012,Jul,pr,0
LIMA,2012,Jul,tmmx,20.28408838
LIMA,2012,Aug,pr,0
LIMA,2012,Aug,tmmx,19.92471327
LIMA,2012,Sep,pr,0
LIMA,2012,Sep,tmmx,20.606763900000004
LIMA,2012,Oct,pr,0
LIMA,2012,Oct,tmmx,21.590139210000004
LIMA,2012,Nov,pr,0.3668698
LIMA,2012,Nov,tmmx,22.771058880000002
LIMA,2012,Dec,pr,1.5430182
LIMA,2012,Dec,tmmx,24.35654966
LIMA,2013,Jan,pr,0.0365009
LIMA,2013,Jan,tmmx,25.341910220000003
LIMA,2013,Feb,pr,0.1286506
LIMA,2013,Feb,tmmx,25.46949285
LIMA,2013,Mar,pr,0.0139273
LIMA,2013,Mar,tmmx,26.48353196
LIMA,2013,Apr,pr,0.9305864
LIMA,2013,Apr,tmmx,24.49215615
LIMA,2013,May,pr,0
LIMA,2013,May,tmmx,22.01149932
LIMA,2013,Jun,pr,0
LIMA,2013,Jun,tmmx,20.170714020000002
LIMA,2013,Jul,pr,0
LIMA,2013,Jul,tmmx,19.13677759
LIMA,2013,Aug,pr,1.4473166
LIMA,2013,Aug,tmmx,19.379330820000003
LIMA,2013,Sep,pr,0
LIMA,2013,Sep,tmmx,20.450546220000003
LIMA,2013,Oct,pr,0
LIMA,2013,Oct,tmmx,21.6567243
LIMA,2013,Nov,pr,0.3988053
LIMA,2013,Nov,tmmx,22.6663593
LIMA,2013,Dec,pr,0
LIMA,2013,Dec,tmmx,24.78252893
LIMA,2014,Jan,pr,0.0051682
LIMA,2014,Jan,tmmx,24.614635540000002
LIMA,2014,Feb,pr,5.745e-4
LIMA,2014,Feb,tmmx,26.30602156
LIMA,2014,Mar,pr,30.5493449
LIMA,2014,Mar,tmmx,26.19206513
LIMA,2014,Apr,pr,1.9196633
LIMA,2014,Apr,tmmx,25.080430910000004
LIMA,2014,May,pr,0
LIMA,2014,May,tmmx,22.74691277
LIMA,2014,Jun,pr,0
LIMA,2014,Jun,tmmx,21.39205198
LIMA,2014,Jul,pr,0
LIMA,2014,Jul,tmmx,20.23712017
LIMA,2014,Aug,pr,0
LIMA,2014,Aug,tmmx,20.03409429
LIMA,2014,Sep,pr,0
LIMA,2014,Sep,tmmx,20.438622440000003
LIMA,2014,Oct,pr,0
LIMA,2014,Oct,tmmx,21.88172
LIMA,2014,Nov,pr,0.4032915
LIMA,2014,Nov,tmmx,23.02785352
LIMA,2014,Dec,pr,0
LIMA,2014,Dec,tmmx,25.01733683
LIMA,2015,Jan,pr,0
LIMA,2015,Jan,tmmx,26.01463675
LIMA,2015,Feb,pr,0.119768
LIMA,2015,Feb,tmmx,27.391703630000002
LIMA,2015,Mar,pr,0
LIMA,2015,Mar,tmmx,27.316723230000004
LIMA,2015,Apr,pr,1.1004953
LIMA,2015,Apr,tmmx,25.772122180000004
LIMA,2015,May,pr,0
LIMA,2015,May,tmmx,23.63276103
LIMA,2015,Jun,pr,0
LIMA,2015,Jun,tmmx,21.51112465
LIMA,2015,Jul,pr,0
LIMA,2015,Jul,tmmx,20.552034390000003
LIMA,2015,Aug,pr,0
LIMA,2015,Aug,tmmx,20.62906878
LIMA,2015,Sep,pr,0
LIMA,2015,Sep,tmmx,21.85426169
LIMA,2015,Oct,pr,0
LIMA,2015,Oct,tmmx,22.60253926
LIMA,2015,Nov,pr,0.3951889
LIMA,2015,Nov,tmmx,23.8751086
LIMA,2015,Dec,pr,0
LIMA,2015,Dec,tmmx,26.114917580000004
LIMA,2016,Jan,pr,2.888187
LIMA,2016,Jan,tmmx,27.464595400000004
LIMA,2016,Feb,pr,9.2012149
LIMA,2016,Feb,tmmx,28.496850890000005
LIMA,2016,Mar,pr,8.7763176
LIMA,2016,Mar,tmmx,28.43400529
LIMA,2016,Apr,pr,1.2920208
LIMA,2016,Apr,tmmx,25.2509045
LIMA,2016,May,pr,0.4489825
LIMA,2016,May,tmmx,22.80857801
LIMA,2016,Jun,pr,2.3260585
LIMA,2016,Jun,tmmx,20.788207370000002
LIMA,2016,Jul,pr,2.9887548
LIMA,2016,Jul,tmmx,19.87802185
LIMA,2016,Aug,pr,2.1785862
LIMA,2016,Aug,tmmx,20.241800280000003
LIMA,2016,Sep,pr,2.5808347
LIMA,2016,Sep,tmmx,21.06462896
LIMA,2016,Oct,pr,1.0952533
LIMA,2016,Oct,tmmx,22.16700204
LIMA,2016,Nov,pr,0.3950801
LIMA,2016,Nov,tmmx,23.61714286
